"val","flags"
1636,"2;5;6;9;10"
1638,"1;2;5;6;9;10"
1640,"3;5;6;9;10"
1642,"1;3;5;6;9;10"
1644,"2;3;5;6;9;10"
1646,"1;2;3;5;6;9;10"
1648,"4;5;6;9;10"
1650,"1;4;5;6;9;10"
1652,"2;4;5;6;9;10"
1654,"1;2;4;5;6;9;10"
1656,"3;4;5;6;9;10"
1658,"1;3;4;5;6;9;10"
1660,"2;3;4;5;6;9;10"
1662,"1;2;3;4;5;6;9;10"
1664,"7;9;10"
1666,"1;7;9;10"
1668,"2;7;9;10"
1670,"1;2;7;9;10"
1672,"3;7;9;10"
1674,"1;3;7;9;10"
1676,"2;3;7;9;10"
1678,"1;2;3;7;9;10"
1680,"4;7;9;10"
1682,"1;4;7;9;10"
1684,"2;4;7;9;10"
1686,"1;2;4;7;9;10"
1688,"3;4;7;9;10"
1690,"1;3;4;7;9;10"
1692,"2;3;4;7;9;10"
1694,"1;2;3;4;7;9;10"
1696,"5;7;9;10"
1698,"1;5;7;9;10"
1700,"2;5;7;9;10"
1702,"1;2;5;7;9;10"
1704,"3;5;7;9;10"
1706,"1;3;5;7;9;10"
1708,"2;3;5;7;9;10"
1710,"1;2;3;5;7;9;10"
1712,"4;5;7;9;10"
1714,"1;4;5;7;9;10"
1716,"2;4;5;7;9;10"
1718,"1;2;4;5;7;9;10"
1720,"3;4;5;7;9;10"
1722,"1;3;4;5;7;9;10"
1724,"2;3;4;5;7;9;10"
1726,"1;2;3;4;5;7;9;10"
1728,"6;7;9;10"
1730,"1;6;7;9;10"
1732,"2;6;7;9;10"
1734,"1;2;6;7;9;10"
1736,"3;6;7;9;10"
1738,"1;3;6;7;9;10"
1740,"2;3;6;7;9;10"
1742,"1;2;3;6;7;9;10"
1744,"4;6;7;9;10"
1746,"1;4;6;7;9;10"
1748,"2;4;6;7;9;10"
1750,"1;2;4;6;7;9;10"
1752,"3;4;6;7;9;10"
1754,"1;3;4;6;7;9;10"
1756,"2;3;4;6;7;9;10"
1758,"1;2;3;4;6;7;9;10"
1760,"5;6;7;9;10"
1762,"1;5;6;7;9;10"
1764,"2;5;6;7;9;10"
1766,"1;2;5;6;7;9;10"
1768,"3;5;6;7;9;10"
1770,"1;3;5;6;7;9;10"
1772,"2;3;5;6;7;9;10"
1774,"1;2;3;5;6;7;9;10"
1776,"4;5;6;7;9;10"
1778,"1;4;5;6;7;9;10"
1780,"2;4;5;6;7;9;10"
1782,"1;2;4;5;6;7;9;10"
1784,"3;4;5;6;7;9;10"
1786,"1;3;4;5;6;7;9;10"
1788,"2;3;4;5;6;7;9;10"
1790,"2;4;8;16;32;64;128;512;1024"
1792,"8;9;10"
1794,"1;8;9;10"
1796,"2;8;9;10"
1798,"1;2;8;9;10"
1800,"3;8;9;10"
1802,"1;3;8;9;10"
1804,"2;3;8;9;10"
1806,"1;2;3;8;9;10"
1808,"4;8;9;10"
1810,"1;4;8;9;10"
1812,"2;4;8;9;10"
1814,"1;2;4;8;9;10"
1816,"3;4;8;9;10"
1818,"1;3;4;8;9;10"
1820,"2;3;4;8;9;10"
1822,"1;2;3;4;8;9;10"
1824,"5;8;9;10"
1826,"1;5;8;9;10"
1828,"2;5;8;9;10"
1830,"1;2;5;8;9;10"
1832,"3;5;8;9;10"
1834,"1;3;5;8;9;10"
1836,"2;3;5;8;9;10"
1838,"1;2;3;5;8;9;10"
1840,"4;5;8;9;10"
1842,"1;4;5;8;9;10"
1844,"2;4;5;8;9;10"
1846,"1;2;4;5;8;9;10"
1848,"3;4;5;8;9;10"
1850,"1;3;4;5;8;9;10"
1852,"2;3;4;5;8;9;10"
1854,"1;2;3;4;5;8;9;10"
1856,"6;8;9;10"
1858,"1;6;8;9;10"
1860,"2;6;8;9;10"
1862,"1;2;6;8;9;10"
1864,"3;6;8;9;10"
1866,"1;3;6;8;9;10"
1868,"2;3;6;8;9;10"
1870,"1;2;3;6;8;9;10"
1872,"4;6;8;9;10"
1874,"1;4;6;8;9;10"
1876,"2;4;6;8;9;10"
1878,"1;2;4;6;8;9;10"
1880,"3;4;6;8;9;10"
1882,"1;3;4;6;8;9;10"
1884,"2;3;4;6;8;9;10"
1886,"1;2;3;4;6;8;9;10"
1888,"5;6;8;9;10"
1890,"1;5;6;8;9;10"
1892,"2;5;6;8;9;10"
1894,"1;2;5;6;8;9;10"
1896,"3;5;6;8;9;10"
1898,"1;3;5;6;8;9;10"
1900,"2;3;5;6;8;9;10"
1902,"1;2;3;5;6;8;9;10"
1904,"4;5;6;8;9;10"
1906,"1;4;5;6;8;9;10"
1908,"2;4;5;6;8;9;10"
1910,"1;2;4;5;6;8;9;10"
1912,"3;4;5;6;8;9;10"
1914,"1;3;4;5;6;8;9;10"
1916,"2;3;4;5;6;8;9;10"
1918,"2;4;8;16;32;64;256;512;1024"
1920,"7;8;9;10"
1922,"1;7;8;9;10"
1924,"2;7;8;9;10"
1926,"1;2;7;8;9;10"
1928,"3;7;8;9;10"
1930,"1;3;7;8;9;10"
1932,"2;3;7;8;9;10"
1934,"1;2;3;7;8;9;10"
1936,"4;7;8;9;10"
1938,"1;4;7;8;9;10"
1940,"2;4;7;8;9;10"
1942,"1;2;4;7;8;9;10"
1944,"3;4;7;8;9;10"
1946,"1;3;4;7;8;9;10"
1948,"2;3;4;7;8;9;10"
1950,"1;2;3;4;7;8;9;10"
1952,"5;7;8;9;10"
1954,"1;5;7;8;9;10"
